Country,2012,2011,2010,2009,2008
Afghanistan,78,71,68,64,66
Albania,96,97,99,97,99
Algeria,99,99,99,99,99
Angola,73,74,79,70,73
Argentina,99,99,99,99,99
Armenia,96,96,95,99,98
Azerbaijan,98,99,98,95,92
Bangladesh,98,99,98,99,99
Belarus,98,99,99,98,98
Belize,98,98,98,99,98
Benin,96,88,90,93,96
Bhutan,95,95,96,94,99
Bolivia (Plurinational State of),99,99,98,93,90
Bosnia and Herzegovina,96,94,96,97,96
Botswana,98,98,98,99,99
Brazil,99,99,99,99,99
Brunei Darussalam,99,96,95,99,99
Bulgaria,97,98,98,98,98
Burkina Faso,96,99,99,99,99
Burundi,98,90,93,98,99
Cabo Verde,99,99,99,99,99
Cambodia,99,98,95,96,98
Cameroon,81,80,83,81,91
Central African Republic,74,74,74,74,74
Chad,62,52,58,46,30
Chile,92,91,95,95,99
China,99,99,99,99,97
Colombia,89,83,84,90,93
Comoros,79,78,76,80,81
Congo,92,95,95,90,93
Cook Islands,98,98,99,99,99
Costa Rica,91,90,88,91,99
Côte d'Ivoire,93,76,79,95,91
Croatia,99,99,99,99,99
Cuba,99,99,99,99,99
Czechia,,,,98,99
Democratic People's Republic of Korea,98,98,98,98,97
Democratic Republic of the Congo,83,66,85,85,78
Djibouti,87,89,90,90,90
Dominica,98,98,99,99,98
Dominican Republic,99,99,98,96,92
Ecuador,94,98,98,99,98
Egypt,95,98,98,98,98
El Salvador,90,95,96,99,99
Equatorial Guinea,78,75,71,71,71
Eritrea,97,97,96,96,95
Estonia,97,99,97,97,98
Eswatini,99,98,98,97,96
Ethiopia,74,80,76,74,71
Fiji,99,99,99,99,99
Finland,,,,,
France,,,,,
Gabon,97,94,94,93,93
Gambia,98,90,92,94,95
Georgia,95,96,96,95,95
Ghana,98,98,99,99,99
Guatemala,94,91,99,93,99
Guinea,77,82,93,91,87
Guinea-Bissau,94,92,93,94,93
Guyana,98,97,98,98,96
Haiti,82,83,82,80,78
Honduras,98,99,99,99,99
Hungary,99,99,99,99,99
India,90,90,89,88,86
Indonesia,88,98,88,78,80
Iran (Islamic Republic of),99,99,99,99,99
Iraq,99,94,90,92,87
Ireland,42,41,30,30,34
Jamaica,95,95,95,94,92
Japan,95,94,99,94,90
Jordan,96,95,95,95,95
Kazakhstan,95,96,96,96,97
Kenya,97,99,99,99,98
Kiribati,95,86,87,76,83
Kuwait,97,99,98,99,99
Kyrgyzstan,98,98,98,98,99
Lao People's Democratic Republic,85,78,72,67,68
Latvia,94,93,92,96,95
Lesotho,93,87,90,92,95
Liberia,85,85,73,87,85
Libya,99,99,99,99,99
Lithuania,98,98,99,99,99
Madagascar,74,82,76,78,83
Malawi,99,99,97,95,97
Malaysia,99,99,99,99,99
Maldives,99,98,97,99,98
Mali,77,84,82,84,86
Marshall Islands,97,80,99,98,95
Mauritania,95,86,85,81,89
Mauritius,99,99,99,95,96
Mexico,99,99,98,99,99
Micronesia (Federated States of),78,75,70,75,79
Monaco,89,89,89,89,89
Mongolia,99,99,99,98,98
Montenegro,95,97,95,95,98
Morocco,99,99,99,99,99
Mozambique,92,91,90,90,90
Myanmar,87,93,93,93,88
Namibia,90,89,88,85,88
Nauru,99,99,99,99,99
Nepal,96,97,94,94,87
Nicaragua,98,98,98,98,98
Niger,85,53,81,86,78
Nigeria,51,57,62,76,65
Niue,99,99,99,99,99
"occupied Palestinian territory, including east Jerusalem",98,98,98,99,99
Oman,99,99,99,99,99
Pakistan,84,83,74,74,75
Panama,98,99,99,99,98
Papua New Guinea,91,91,88,89,80
Paraguay,93,94,93,91,94
Peru,95,91,95,97,97
Philippines,89,91,83,90,93
Poland,94,94,93,94,93
Portugal,99,97,96,98,98
Qatar,97,97,99,98,97
Republic of Korea,99,99,96,96,96
Republic of Moldova,99,98,98,96,98
North Macedonia,95,94,96,98,94
Romania,99,99,99,99,99
Russian Federation,96,95,96,96,96
Rwanda,99,99,99,99,93
Saint Kitts and Nevis,95,99,91,93,95
Saint Lucia,99,99,97,97,99
Saint Vincent and the Grenadines,97,99,90,80,87
Samoa,90,95,87,92,98
Sao Tome and Principe,99,99,99,99,99
Saudi Arabia,99,98,98,98,98
Senegal,97,97,97,97,98
Serbia,98,99,99,98,99
Seychelles,99,99,99,96,99
Sierra Leone,98,97,97,96,91
Singapore,99,99,99,99,99
Slovakia,90,97,98,97,98
Slovenia,,,,,
Solomon Islands,85,94,91,92,92
Somalia,37,39,41,29,36
South Africa,86,84,81,82,84
South Sudan,65,75,,,
Sri Lanka,99,99,99,99,99
Sudan,92,92,90,82,88
Sweden,24,23,23,21,23
Syrian Arab Republic,82,90,97,95,93
Tajikistan,97,97,98,82,89
Thailand,99,99,99,99,99
Timor-Leste,86,79,79,74,85
Togo,97,97,97,91,92
Tonga,95,99,99,99,99
Tunisia,95,90,98,98,99
Turkey,96,96,97,96,96
Turkmenistan,99,98,99,99,99
Tuvalu,99,99,99,99,99
Uganda,95,97,86,90,86
Ukraine,95,90,92,94,95
United Arab Emirates,94,96,98,98,98
United Republic of Tanzania,99,99,99,93,89
Uruguay,99,99,99,99,99
Uzbekistan,99,99,99,99,96
Vanuatu,92,90,88,86,85
Venezuela (Bolivarian Republic of),96,95,92,91,90
Viet Nam,98,98,94,97,92
Yemen,64,59,65,58,60
Zambia,92,92,92,92,91
Zimbabwe,98,98,99,90,91
