Country / Region,Antigen,Data source,2012,2011,2010,2009,2008
Albania,BCG,WUENIC,0.96,0.97,0.99,0.97,0.99
Armenia,BCG,WUENIC,0.96,0.96,0.95,0.99,0.98
Azerbaijan,BCG,WUENIC,0.98,0.99,0.98,0.95,0.92
Belarus,BCG,WUENIC,0.98,0.99,0.99,0.98,0.98
Bosnia and Herzegovina,BCG,WUENIC,0.96,0.94,0.96,0.97,0.96
Bulgaria,BCG,WUENIC,0.97,0.98,0.98,0.98,0.98
Croatia,BCG,WUENIC,0.99,0.99,0.99,0.99,0.99
Czechia,BCG,WUENIC,,,,0.98,0.99
Estonia,BCG,WUENIC,0.97,0.99,0.97,0.97,0.98
Georgia,BCG,WUENIC,0.95,0.96,0.96,0.95,0.95
Hungary,BCG,WUENIC,0.99,0.99,0.99,0.99,0.99
Ireland,BCG,WUENIC,0.42,0.41,0.3,0.3,0.34
Kazakhstan,BCG,WUENIC,0.95,0.96,0.96,0.96,0.97
Kyrgyzstan,BCG,WUENIC,0.98,0.98,0.98,0.98,0.99
Latvia,BCG,WUENIC,0.94,0.93,0.92,0.96,0.95
Lithuania,BCG,WUENIC,0.98,0.98,0.99,0.99,0.99
Monaco,BCG,WUENIC,0.89,0.89,0.89,0.89,0.89
Montenegro,BCG,WUENIC,0.95,0.97,0.95,0.95,0.98
North Macedonia,BCG,WUENIC,0.95,0.94,0.96,0.98,0.94
Poland,BCG,WUENIC,0.94,0.94,0.93,0.94,0.93
Portugal,BCG,WUENIC,0.99,0.97,0.96,0.98,0.98
Republic of Moldova,BCG,WUENIC,0.99,0.98,0.98,0.96,0.98
Romania,BCG,WUENIC,0.99,0.99,0.99,0.99,0.99
Russian Federation,BCG,WUENIC,0.96,0.95,0.96,0.96,0.96
Serbia,BCG,WUENIC,0.98,0.99,0.99,0.98,0.99
Slovakia,BCG,WUENIC,0.9,0.97,0.98,0.97,0.98
Sweden,BCG,WUENIC,0.24,0.23,0.23,0.21,0.23
Tajikistan,BCG,WUENIC,0.97,0.97,0.98,0.82,0.89
Turkmenistan,BCG,WUENIC,0.99,0.98,0.99,0.99,0.99
Türkiye,BCG,WUENIC,0.96,0.96,0.97,0.96,0.96
Ukraine,BCG,WUENIC,0.95,0.9,0.92,0.94,0.95
Uzbekistan,BCG,WUENIC,0.99,0.99,0.99,0.99,0.96
