Country,National data,Report type, 2012 Cases,2012 Rate,ASR,Confirmed cases, 2011 Cases,2011 Rate, 2010 Cases,2010 Rate,2009 Cases,2009 Rate,2008 Cases,2008 Rate
Austria,Y,C,648,7.7,7.6,413,690,8.2,691,8.3,696,8.3,817,9.8
Belgium,Y,C,987,8.9,9.1,776,1019,9.3,1086,10,994,9.2,990,9.3
Bulgaria,Y,C,2280,31.1,30.6,1092,2406,32.6,2649,35,2910,38.3,3150,41.2
Cyprus,Y,C,69,8,7.8,50,54,6.4,61,7.4,55,6.9,50,6.3
Czech Republic,Y,C,605,5.8,5.6,421,600,5.7,668,6.4,694,6.7,864,8.3
Denmark,Y,C,389,7,7.1,301,381,6.9,366,6.6,334,6.1,380,6.9
Estonia,Y,C,290,21.6,21.5,239,339,25.3,333,24.8,411,30.7,444,33.1
Finland,Y,C,274,5.1,5,223,324,6,320,6,413,7.8,341,6.4
France,Y,C,4978,7.6,7.9,2338,4991,7.7,5116,7.9,5276,8.2,5758,9
Germany,Y,C,4220,5.2,5,3040,4317,5.3,4387,5.4,4444,5.4,4523,5.5
Greece,Y,C,557,4.9,4.9,225,489,4.3,487,4.3,589,5.2,664,5.9
Hungary,Y,C,1223,12.5,11.9,538,1445,14.7,1741,17.7,1407,14.2,1619,16.4
Ireland,Y,C,366,8,8.4,277,414,9.1,420,9.4,479,10.8,468,10.6
Italy,Y,C,3142,5.2,5.3,677,3521,5.8,4692,7.8,4244,7.1,4418,7.4
Latvia,Y,C,993,48.6,48.8,778,885,42.7,935,41.6,977,43.2,1070,47.1
Lithuania,Y,C,1781,59.2,59.4,1368,1904,62.4,1938,58.2,2081,62.1,2250,66.8
Luxembourg,Y,C,45,8.6,8.6,33,26,5.1,29,5.8,27,5.5,28,5.8
Malta,Y,C,43,10.3,10.4,16,33,7.9,32,7.7,44,10.7,53,13
Netherlands,Y,C,958,5.7,5.9,662,1003,6,1068,6.4,1158,7,1015,6.2
Poland,Y,C,7542,19.6,19.7,5070,8478,22,7509,19.7,8236,21.6,8080,21.2
Portugal,Y,C,2590,25.2,24.2,1711,2612,25.3,2727,26.1,2871,27.5,3002,28.8
Romania,Y,C,18197,85.2,89.6,11974,19205,89.7,21059,98.1,23164,107.8,24680,114.6
Slovakia,Y,C,345,6.4,6.6,181,399,7.4,439,8.1,506,9.4,633,11.7
Slovenia,Y,C,138,6.7,6.5,126,192,9.4,172,8.4,188,9.3,213,10.6
Spain,Y,C,5991,13,12.5,3845,6798,14.7,7239,15.7,7592,16.6,8216,18.1
Sweden,Y,C,632,6.7,6.9,504,580,6.2,667,7.1,617,6.7,546,5.9
United Kingdom,Y,C,8751,14.2,14.2,5200,8899,14.3,8397,13.6,8900,14.4,8532,14
EU Total,-,-,68034,13.6,13.5,42078,72004,14.4,75228,15,79307,15.9,82804,16.7
Iceland,Y,C,11,3.4,3.5,5,9,2.8,22,6.9,9,2.8,6,1.9
Liechtenstein,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Norway,Y,C,378,7.6,7.8,281,354,7.2,336,6.9,358,7.5,313,6.6
